so,m73,(ə-)ˈlʔuːd-ən,ear,,(ə-)ˈlʔuːd-ən,,"pinnow1959versuch[p. 97, item 1319, set V147]",,Pinnow comparative set V147. Linked to Rau m73 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c3.p97.i1319.sV147,,,,
kh,m29,ɟɔˈnɔʔ,broom,,ɟɔˈnɔʔ,,"pinnow1959versuch[p. 109, item 1366-2, set V190]",,Pinnow comparative set V190. Linked to Rau m29 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c1.p109.i1366-2.sV190,,,,
kh,,ɟɔːl,oil,,ɟɔːl,,"pinnow1959versuch[p. 110, item 1374, set V198]",,Pinnow comparative set V198.,pinnow1959versuch:C:c1.p110.i1374.sV198,,,,
kh,,ɟɔl,oil,,ɟɔl,,"pinnow1959versuch[p. 110, item 1374, set V198]",,Pinnow comparative set V198.,pinnow1959versuch:C:c1.p110.i1374.sV198:v2,pinnow1959versuch:C:c1.p110.i1374.sV198,,,
sa,,ɟəpiˀd,"to shut the eyes, sleep",,ɟəpiˀd,,"pinnow1959versuch[p. 86, item 1256, set V93]",,Pinnow comparative set V93.,pinnow1959versuch:C:c2.p86.i1256.sV093,,,,
so,m29,ɟəˈnoː-n,a broomstick,,ɟəˈnoː-n,,"pinnow1959versuch[p. 109, item 1366-1, set V190]",,Pinnow comparative set V190. Linked to Rau m29 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c3.p109.i1366-1.sV190,,,,
so,m29,ɟəˈnoː-n,a broomstick,,ɟəˈnoː-n,,"pinnow1959versuch[p. 109, item 1366-2, set V190]",,Pinnow comparative set V190. Linked to Rau m29 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c3.p109.i1366-2.sV190,,,,
kh,m82,ɟɛlɔˀb,long,,ɟɛlɔˀb,,"pinnow1959versuch[p. 161, item 1567-1, set V340]",,Pinnow comparative set V340. Linked to Rau m82 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c1.p161.i1567-1.sV340,,,,
kh,m82,ɟhɛlɔˀb,long,,ɟhɛlɔˀb,,"pinnow1959versuch[p. 161, item 1567-1, set V340]",,Pinnow comparative set V340. Linked to Rau m82 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c1.p161.i1567-1.sV340:v2,pinnow1959versuch:C:c1.p161.i1567-1.sV340,,,
mu,,ɟɛmbɛˀd,"to sip, suck",,ɟɛmbɛˀd,,"pinnow1959versuch[p. 126, item 1438-2, set V251]",,Pinnow comparative set V251.,pinnow1959versuch:C:c4.p126.i1438-2.sV251,,,,
mu,,ɟɛmbɛˀd,"to sip, suck",,ɟɛmbɛˀd,,"pinnow1959versuch[p. 126, item 1438, set V251]",,Pinnow comparative set V251.,pinnow1959versuch:C:c4.p126.i1438.sV251,,,,
sa,,ɟɛmbɛˀd,"to sip, suck",,ɟɛmbɛˀd,,"pinnow1959versuch[p. 126, item 1438-2, set V251]",,Pinnow comparative set V251.,pinnow1959versuch:C:c2.p126.i1438-2.sV251,,,,
sa,,ɟɛmbɛˀd,"to sip, suck",,ɟɛmbɛˀd,,"pinnow1959versuch[p. 126, item 1438, set V251]",,Pinnow comparative set V251.,pinnow1959versuch:C:c2.p126.i1438.sV251,,,,
sa,,ɟɛmʈhɛ,"to clog, stick, join together",,ɟɛmʈhɛ,,"pinnow1959versuch[p. 71, item 1173, set V11]",,Pinnow comparative set V11.,pinnow1959versuch:C:c2.p71.i1173.sV011,,,,
mu,,ɟɛŋɡɛˀd,"deep redness, crimson color",,ɟɛŋɡɛˀd,,"pinnow1959versuch[p. 179, item 1638, set V396]",,Pinnow comparative set V396.,pinnow1959versuch:C:c4.p179.i1638.sV396,,,,
mu,,ɟuŋɡuˀd,"deep redness, crimson color",,ɟuŋɡuˀd,,"pinnow1959versuch[p. 179, item 1638, set V396]",,Pinnow comparative set V396.,pinnow1959versuch:C:c4.p179.i1638.sV396:v2,pinnow1959versuch:C:c4.p179.i1638.sV396,,,
sa,,ɟɛŋɡɛˀdɟɛŋɡɛˀd,"crimson scarlet, bright red",,ɟɛŋɡɛˀdɟɛŋɡɛˀd,,"pinnow1959versuch[p. 179, item 1638, set V396]",,Pinnow comparative set V396.,pinnow1959versuch:C:c2.p179.i1638.sV396,,,,
kh,,ɟɛˈpuŋ,straw,,ɟɛˈpuŋ,,"pinnow1959versuch[p. 247, item 364, set K279]",,Pinnow comparative set K279.,pinnow1959versuch:C:c1.p247.i364.sK279,,,,
so,,ɟʊm,to eat,,ɟʊm,,"pinnow1959versuch[p. 247, item 357, set K274]",,Pinnow comparative set K274.,pinnow1959versuch:C:c3.p247.i357.sK274,,,,
so,,ɟom,to eat,,ɟom,,"pinnow1959versuch[p. 247, item 357, set K274]",,Pinnow comparative set K274.,pinnow1959versuch:C:c3.p247.i357.sK274:v2,pinnow1959versuch:C:c3.p247.i357.sK274,,,
so,,ɟʔeː-n,red,,ɟʔeː-n,,"pinnow1959versuch[p. 179, item 1638, set V396]",,Pinnow comparative set V396.,pinnow1959versuch:C:c3.p179.i1638.sV396,,,,
so,,ɟʔɑːd-ən,snake,,ɟʔɑːd-ən,,"pinnow1959versuch[p. 220, item 216, set K187]",,Pinnow comparative set K187.,pinnow1959versuch:C:c3.p220.i216.sK187,,,,
kh,,ɡa,"too, indeed",,ɡa,,"pinnow1959versuch[p. 151, item 1512, set V298]",,Pinnow comparative set V298.,pinnow1959versuch:C:c1.p151.i1512.sV298,,,,
ko,,ɡada,"river, stream",,ɡada,,"pinnow1959versuch[p. 351, item 913, set K498]",,Pinnow comparative set K498.,pinnow1959versuch:C:c5.p351.i913.sK498,,,,
sa,m80,ɡam,"story, folk-tale, relate, tell do",,ɡam,,"pinnow1959versuch[p. 71, item 1174, set V12]",,Pinnow comparative set V12. Linked to Rau m80 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c2.p71.i1174.sV012,,,,
Birhor,m108,ɡam,to rain,,ɡam,,"pinnow1959versuch[p. 142, item 1487, set V282]",,Pinnow comparative set V282. Linked to Rau m108 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c7.p142.i1487.sV282,,,,
Birhor,m80,ɡam,"to speak, say",,ɡam,,"pinnow1959versuch[p. 71, item 1174, set V12]",,Pinnow comparative set V12. Linked to Rau m80 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c7.p71.i1174.sV012,,,,
sa,,ɡam,to sit quietly,,ɡam,,"pinnow1959versuch[p. 178, item 1634-1, set V392]",,Pinnow comparative set V392.,pinnow1959versuch:C:c2.p178.i1634-1.sV392,,,,
sa,,ɡamɡum,to sit quietly,,ɡamɡum,,"pinnow1959versuch[p. 178, item 1634-1, set V392]",,Pinnow comparative set V392.,pinnow1959versuch:C:c2.p178.i1634-1.sV392:v2,pinnow1959versuch:C:c2.p178.i1634-1.sV392,,,
mu,m108,ɡama,"rain, to rain",,ɡama,,"pinnow1959versuch[p. 142, item 1487, set V282]",,Pinnow comparative set V282. Linked to Rau m108 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c4.p142.i1487.sV282,,,,
ho,m80,ɡamu,"song, singing, to sing",,ɡamu,,"pinnow1959versuch[p. 71, item 1174, set V12]",,Pinnow comparative set V12. Linked to Rau m80 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c6.p71.i1174.sV012,,,,
mu,m80,ɡamu,"song, singing, to sing",,ɡamu,,"pinnow1959versuch[p. 71, item 1174, set V12]",,Pinnow comparative set V12. Linked to Rau m80 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c4.p71.i1174.sV012,,,,
Birhor,,ɡapa,tomorrow,,ɡapa,,"pinnow1959versuch[p. 72, item 1186, set V24]",,Pinnow comparative set V24.,pinnow1959versuch:C:c7.p72.i1186.sV024,,,,
mu,,ɡapa,tomorrow,,ɡapa,,"pinnow1959versuch[p. 72, item 1186, set V24]",,Pinnow comparative set V24.,pinnow1959versuch:C:c4.p72.i1186.sV024,,,,
sa,,ɡapa,tomorrow,,ɡapa,,"pinnow1959versuch[p. 72, item 1186, set V24]",,Pinnow comparative set V24.,pinnow1959versuch:C:c2.p72.i1186.sV024,,,,
ko,,ɡapaŋ,tomorrow,,ɡapaŋ,,"pinnow1959versuch[p. 72, item 1186, set V24]",,Pinnow comparative set V24.,pinnow1959versuch:C:c5.p72.i1186.sV024,,,,
ko,,ɡaphaŋ,tomorrow,,ɡaphaŋ,,"pinnow1959versuch[p. 72, item 1186, set V24]",,Pinnow comparative set V24.,pinnow1959versuch:C:c5.p72.i1186.sV024:v2,pinnow1959versuch:C:c5.p72.i1186.sV024,,,
ho,,ɡarra,"river, stream",,ɡarra,,"pinnow1959versuch[p. 351, item 913, set K498]",,Pinnow comparative set K498.,pinnow1959versuch:C:c6.p351.i913.sK498,,,,
mu,,ɡarra,"river, stream",,ɡarra,,"pinnow1959versuch[p. 351, item 913-3, set K498]",,Pinnow comparative set K498.,pinnow1959versuch:C:c4.p351.i913-3.sK498,,,,
sa,,ɡaɖa,"a hollow, pit, excavation, trench, a river",,ɡaɖa,,"pinnow1959versuch[p. 351, item 913, set K498]",,Pinnow comparative set K498.,pinnow1959versuch:C:c2.p351.i913.sK498,,,,
mu,,ɡaɖa,"a pit, a trench, a grave, a water-course, a stream, a river",,ɡaɖa,,"pinnow1959versuch[p. 351, item 913-2, set K498]",,Pinnow comparative set K498.,pinnow1959versuch:C:c4.p351.i913-2.sK498,,,,
mu,m96,ɡaɟa maɳɖi,cooked rice beginning to spoil,,ɡaɟa maɳɖi,,"pinnow1959versuch[p. 71, item 1177, set V15]",,Pinnow comparative set V15. Linked to Rau m96 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c4.p71.i1177.sV015,,,,
mu,m96,ɡaɟa-ɡuɟuʔ,to become tender by cooking,,ɡaɟa-ɡuɟuʔ,,"pinnow1959versuch[p. 71, item 1177-1, set V15]",,Pinnow comparative set V15. Linked to Rau m96 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c4.p71.i1177-1.sV015,,,,
mu,,ɡaɽa,"a pit, a trench, a grave, a water-course, a stream, a river",,ɡaɽa,,"pinnow1959versuch[p. 351, item 913, set K498]",,Pinnow comparative set K498.,pinnow1959versuch:C:c4.p351.i913.sK498,,,,
Birhor,,ɡaɽa,"river, stream",,ɡaɽa,,"pinnow1959versuch[p. 351, item 913, set K498]",,Pinnow comparative set K498.,pinnow1959versuch:C:c7.p351.i913.sK498,,,,
ho,,ɡaːui,the act or gesture of beckoning,,ɡaːui,,"pinnow1959versuch[p. 203, item 71, set K68]",,Pinnow comparative set K68.,pinnow1959versuch:C:c6.p203.i71.sK068,,,,
mu,,ɡaːwiˀɟ,the act or gesture of beckoning,,ɡaːwiˀɟ,,"pinnow1959versuch[p. 203, item 71, set K68]",,Pinnow comparative set K68.,pinnow1959versuch:C:c4.p203.i71.sK068,,,,
mu,,ɡe,emphatic particle,,ɡe,,"pinnow1959versuch[p. 151, item 1512, set V298]",,Pinnow comparative set V298.,pinnow1959versuch:C:c4.p151.i1512.sV298,,,,part emph
sa,,ɡe,emphatic particle,,ɡe,,"pinnow1959versuch[p. 151, item 1512, set V298]",,Pinnow comparative set V298.,pinnow1959versuch:C:c2.p151.i1512.sV298,,,,part emph
so,,ɡe,"suffix added to the stem to express resemblance, manner, etc",,ɡe,,"pinnow1959versuch[p. 151, item 1512, set V298]",,Pinnow comparative set V298.,pinnow1959versuch:C:c3.p151.i1512.sV298,,,,suffix
ho,m122,ɡel,ten,,ɡel,,"pinnow1959versuch[p. 126, item 1436, set V249]",,Pinnow comparative set V249. Linked to Rau m122 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c6.p126.i1436.sV249,,,,
ko,m122,ɡel,ten,,ɡel,,"pinnow1959versuch[p. 126, item 1436, set V249]",,Pinnow comparative set V249. Linked to Rau m122 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c5.p126.i1436.sV249,,,,
ko,m122,ɡelja,ten,,ɡelja,,"pinnow1959versuch[p. 126, item 1436, set V249]",,Pinnow comparative set V249. Linked to Rau m122 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c5.p126.i1436.sV249:v2,pinnow1959versuch:C:c5.p126.i1436.sV249,,,
Birhor,m77,ɡele,an ear of any kind of grain,,ɡele,,"pinnow1959versuch[p. 105, item 1358, set V182]",,Pinnow comparative set V182. Linked to Rau m77 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c7.p105.i1358.sV182,,,,
ho,,ɡeraŋ,to groan,,ɡeraŋ,,"pinnow1959versuch[p. 131, item 1472, set V273]",,Pinnow comparative set V273.,pinnow1959versuch:C:c6.p131.i1472.sV273,,,,
mu,,ɡeraŋ,to groan,,ɡeraŋ,,"pinnow1959versuch[p. 131, item 1472, set V273]",,Pinnow comparative set V273.,pinnow1959versuch:C:c4.p131.i1472.sV273,,,,
sa,,ɡeraŋ,to groan,,ɡeraŋ,,"pinnow1959versuch[p. 131, item 1472, set V273]",,Pinnow comparative set V273.,pinnow1959versuch:C:c2.p131.i1472.sV273,,,,
Birhor,m13,ɡet,to cut,,ɡet,,"pinnow1959versuch[p. 159, item 1556, set V334]",,Pinnow comparative set V334. Linked to Rau m13 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c7.p159.i1556.sV334,,,,
Birhor,m13,ɡed,to cut,,ɡed,,"pinnow1959versuch[p. 159, item 1556, set V334]",,Pinnow comparative set V334. Linked to Rau m13 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c7.p159.i1556.sV334:v2,pinnow1959versuch:C:c7.p159.i1556.sV334,,,
ko,,ɡew,"to mock, to deride",,ɡew,,"pinnow1959versuch[p. 202, item 60, set K58]",,Pinnow comparative set K58.,pinnow1959versuch:C:c5.p202.i60.sK058,,,,
ko,m13,ɡeːˀd,to kill,,ɡeːˀd,,"pinnow1959versuch[p. 159, item 1556, set V334]",,Pinnow comparative set V334. Linked to Rau m13 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c5.p159.i1556.sV334,,,,
ko,m108,ɡhamaː,to rain,,ɡhamaː,,"pinnow1959versuch[p. 142, item 1487, set V282]",,Pinnow comparative set V282. Linked to Rau m108 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c5.p142.i1487.sV282,,,,
ko,m82,ɡhiliŋ,long,,ɡhiliŋ,,"pinnow1959versuch[p. 161, item 1567, set V340]",,Pinnow comparative set V340. Linked to Rau m82 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c5.p161.i1567.sV340,,,,
kh,m119,ɡhul,seven,,ɡhul,,"pinnow1959versuch[p. 96, item 1313, set V141]",,Pinnow comparative set V141. Linked to Rau m119 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c1.p96.i1313.sV141,,,,
kh,,ɡhɑl,to throw,,ɡhɑl,,"pinnow1959versuch[p. 228, set K224]",,Pinnow comparative set K224.,pinnow1959versuch:C:c1.p228.i.sK224,,,,
kh,,ɡhɑl,to throw,,ɡhɑl,,"pinnow1959versuch[p. 71, item 1172, set V10]",,Pinnow comparative set V10.,pinnow1959versuch:C:c1.p71.i1172.sV010,,,,
kh,m122,ɡhɔl,ten,,ɡhɔl,,"pinnow1959versuch[p. 126, item 1436, set V249]",,Pinnow comparative set V249. Linked to Rau m122 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c1.p126.i1436.sV249,,,,
gu,,ɡi-siŋ,hen,,ɡi-siŋ,,"pinnow1959versuch[p. 155, item 1530, set V314]",,Pinnow comparative set V314.,pinnow1959versuch:C:c8.p155.i1530.sV314,,,,
re,,ɡi-siŋ,hen,,ɡi-siŋ,,"pinnow1959versuch[p. 155, item 1530, set V314]",,Pinnow comparative set V314.,pinnow1959versuch:C:c10.p155.i1530.sV314,,,,
gu,,ɡibbi,"swine, hog",,ɡibbi,,"pinnow1959versuch[p. 168, item 1597, set V362]",,Pinnow comparative set V362.,pinnow1959versuch:C:c8.p168.i1597.sV362,,,,
gu,,ɡidaŋ,back,,ɡidaŋ,,"pinnow1959versuch[p. 170, item 1602, set V367]",,Pinnow comparative set V367.,pinnow1959versuch:C:c8.p170.i1602.sV367,,,,
re,,ɡidaŋ,back,,ɡidaŋ,,"pinnow1959versuch[p. 170, item 1602, set V367]",,Pinnow comparative set V367.,pinnow1959versuch:C:c10.p170.i1602.sV367,,,,
gu,m4,ɡikkil,"tiger, panther",,ɡikkil,,"pinnow1959versuch[p. 142, item 1486, set V281]",,Pinnow comparative set V281. Linked to Rau m4 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c8.p142.i1486.sV281,,,,
mu,,ɡil,a blow with the side of the hand,,ɡil,,"pinnow1959versuch[p. 85, item 1241, set V79]",,Pinnow comparative set V79.,pinnow1959versuch:C:c4.p85.i1241.sV079,,,,
kh,,ɡil,"to beat, to strike",,ɡil,,"pinnow1959versuch[p. 85, item 1241, set V79]",,Pinnow comparative set V79.,pinnow1959versuch:C:c1.p85.i1241.sV079,,,,
sa,,ɡil,to strike with the fist on the forehead or mouth,,ɡil,,"pinnow1959versuch[p. 85, item 1241, set V79]",,Pinnow comparative set V79.,pinnow1959versuch:C:c2.p85.i1241.sV079,,,,
gu,,ɡilli,hare,,ɡilli,,"pinnow1959versuch[p. 97, item 1318, set V146]",,Pinnow comparative set V146.,pinnow1959versuch:C:c8.p97.i1318.sV146,,,,
kh,m108,ɡim,to shower,,ɡim,,"pinnow1959versuch[p. 142, item 1487, set V282]",,Pinnow comparative set V282. Linked to Rau m108 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c1.p142.i1487.sV282,,,,
re,,ɡime,goat ({Sci.name} Capra hircus),,ɡime,,"pinnow1959versuch[p. 104, item 1353, set V177]",,Pinnow comparative set V177.,pinnow1959versuch:C:c10.p104.i1353.sV177,,,,
gu,,ɡime,goat,,ɡime,,"pinnow1959versuch[p. 104, item 1353, set V177]",,Pinnow comparative set V177.,pinnow1959versuch:C:c8.p104.i1353.sV177,,,,
ho,,ɡiti seŋer,"to lie down, to sleep",,ɡiti seŋer,,"pinnow1959versuch[p. 86, item 1253, set V91]",,Pinnow comparative set V91.,pinnow1959versuch:C:c6.p86.i1253.sV091,,,,
Birhor,,ɡitiɟ,"to lie down, to sleep",,ɡitiɟ,,"pinnow1959versuch[p. 86, item 1253, set V91]",,Pinnow comparative set V91.,pinnow1959versuch:C:c7.p86.i1253.sV091,,,,
ko,,ɡitiˀɟ,"to lie down, to sleep",,ɡitiˀɟ,,"pinnow1959versuch[p. 86, item 1253, set V91]",,Pinnow comparative set V91.,pinnow1959versuch:C:c5.p86.i1253.sV091,,,,
mu,,ɡitiˀɟ,"to lie down, to sleep",,ɡitiˀɟ,,"pinnow1959versuch[p. 86, item 1253, set V91]",,Pinnow comparative set V91.,pinnow1959versuch:C:c4.p86.i1253.sV091,,,,
sa,,ɡitiˀɟ,"to lie down, to sleep",,ɡitiˀɟ,,"pinnow1959versuch[p. 86, item 1253, set V91]",,Pinnow comparative set V91.,pinnow1959versuch:C:c2.p86.i1253.sV091,,,,
ho,,ɡiu,to be ashamed,,ɡiu,,"pinnow1959versuch[p. 202, item 60, set K58]",,Pinnow comparative set K58.,pinnow1959versuch:C:c6.p202.i60.sK058,,,,
mu,,ɡiˈjuʔ,"shame, modesty, shyness",,ɡiˈjuʔ,,"pinnow1959versuch[p. 202, item 60, set K58]",,Pinnow comparative set K58.,pinnow1959versuch:C:c4.p202.i60.sK058,,,,
kh,,ɡiˈniŋ,"price, a present to pay the girl's father",,ɡiˈniŋ,,"pinnow1959versuch[p. 157, item 1545, set V326]",,Pinnow comparative set V326.,pinnow1959versuch:C:c1.p157.i1545.sV326,,,,
kh,,ɡiˈtaʔ,to lie down,,ɡiˈtaʔ,,"pinnow1959versuch[p. 86, item 1253, set V91]",,Pinnow comparative set V91.,pinnow1959versuch:C:c1.p86.i1253.sV091,,,,
gu,m119,ɡiːl,seven,,ɡiːl,,"pinnow1959versuch[p. 96, item 1313, set V141]",,Pinnow comparative set V141. Linked to Rau m119 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c8.p96.i1313.sV141,,,,
re,m119,ɡiːl,seven,,ɡiːl,,"pinnow1959versuch[p. 96, item 1313, set V141]",,Pinnow comparative set V141. Linked to Rau m119 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c10.p96.i1313.sV141,,,,
re,m119,ɡuː,seven,,ɡuː,,"pinnow1959versuch[p. 96, item 1313, set V141]",,Pinnow comparative set V141. Linked to Rau m119 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c10.p96.i1313.sV141:v2,pinnow1959versuch:C:c10.p96.i1313.sV141,,,
gu,,ɡiːneː,tooth,,ɡiːneː,,"pinnow1959versuch[p. 105, item 1356, set V180]",,Pinnow comparative set V180.,pinnow1959versuch:C:c8.p105.i1356.sV180,,,,
ko,,ɡo,to die,,ɡo,,"pinnow1959versuch[p. 203, item 70, set K67]",,Pinnow comparative set K67.,pinnow1959versuch:C:c5.p203.i70.sK067,,,,
ko,,ɡuɟu,to die,,ɡuɟu,,"pinnow1959versuch[p. 203, item 70, set K67]",,Pinnow comparative set K67.,pinnow1959versuch:C:c5.p203.i70.sK067:v2,pinnow1959versuch:C:c5.p203.i70.sK067,,,
so,,ɡob,to sit,,ɡob,,"pinnow1959versuch[p. 178, item 1634-1, set V392]",,Pinnow comparative set V392.,pinnow1959versuch:C:c3.p178.i1634-1.sV392,,,,
sa,,ɡoco,"beard, moustache, whiskers",,ɡoco,,"pinnow1959versuch[p. 121, item 1426, set V241]",,Pinnow comparative set V241.,pinnow1959versuch:C:c2.p121.i1426.sV241,,,,
ko,,ɡodai,rat,,ɡodai,,"pinnow1959versuch[p. 180, item 1641, set V398]",,Pinnow comparative set V398.,pinnow1959versuch:C:c5.p180.i1641.sV398,,,,
re,,ɡoi,to die,,ɡoi,,"pinnow1959versuch[p. 203, item 70, set K67]",,Pinnow comparative set K67.,pinnow1959versuch:C:c10.p203.i70.sK067,,,,
ho,,ɡoi,to die,,ɡoi,,"pinnow1959versuch[p. 203, item 70, set K67]",,Pinnow comparative set K67.,pinnow1959versuch:C:c6.p203.i70.sK067,,,,
sa,,ɡomke,"owner, master",,ɡomke,,"pinnow1959versuch[p. 105, item 1361, set V185]",,Pinnow comparative set V185.,pinnow1959versuch:C:c2.p105.i1361.sV185,,,,
ju,,ɡone,tooth,,ɡone,,"pinnow1959versuch[p. 105, item 1356, set V180]",,Pinnow comparative set V180.,pinnow1959versuch:C:c11.p105.i1356.sV180,,,,
ju,,ɡoneh,tooth,,ɡoneh,,"pinnow1959versuch[p. 105, item 1356, set V180]",,Pinnow comparative set V180.,pinnow1959versuch:C:c11.p105.i1356.sV180:v2,pinnow1959versuch:C:c11.p105.i1356.sV180,,,
ko,,ɡonom,price paid for a wife in cash,,ɡonom,,"pinnow1959versuch[p. 157, item 1545, set V326]",,Pinnow comparative set V326.,pinnow1959versuch:C:c5.p157.i1545.sV326,,,,
Birhor,,ɡonoŋ,the price asked or paid for a bride,,ɡonoŋ,,"pinnow1959versuch[p. 157, item 1545, set V326]",,Pinnow comparative set V326.,pinnow1959versuch:C:c7.p157.i1545.sV326,,,,
kh,,ɡouˀɟ,to beckon (with a hand),,ɡouˀɟ,,"pinnow1959versuch[p. 203, item 71, set K68]",,Pinnow comparative set K68.,pinnow1959versuch:C:c1.p203.i71.sK068,,,,
ju,,ɡoɟ-ude,to die,,ɡoɟ-ude,,"pinnow1959versuch[p. 203, item 70, set K67]",,Pinnow comparative set K67.,pinnow1959versuch:C:c11.p203.i70.sK067,,,,
Birhor,,ɡoʔ,to carry on the shoulder,,ɡoʔ,,"pinnow1959versuch[p. 172, item 1612, set V375]",,Pinnow comparative set V375.,pinnow1959versuch:C:c7.p172.i1612.sV375,,,,
Birhor,,ɡoˀɟ,to die,,ɡoˀɟ,,"pinnow1959versuch[p. 203, item 70, set K67]",,Pinnow comparative set K67.,pinnow1959versuch:C:c7.p203.i70.sK067,,,,
kw,,ɡoˀɟ,to die,,ɡoˀɟ,,"pinnow1959versuch[p. 203, item 70, set K67]",,Pinnow comparative set K67.,pinnow1959versuch:C:c12.p203.i70.sK067,,,,
so,,ɡoˈsoːr,"to wear out, to denude, to erode",,ɡoˈsoːr,,"pinnow1959versuch[p. 112, item 1383-2, set V207]",,Pinnow comparative set V207.,pinnow1959versuch:C:c3.p112.i1383-2.sV207,,,,
re,m122,ɡoː,ten,,ɡoː,,"pinnow1959versuch[p. 126, item 1436, set V249]",,Pinnow comparative set V249. Linked to Rau m122 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c10.p126.i1436.sV249,,,,
gu,,ɡoːj,to die,,ɡoːj,,"pinnow1959versuch[p. 203, item 70, set K67]",,Pinnow comparative set K67.,pinnow1959versuch:C:c8.p203.i70.sK067,,,,
gu,,ɡoi-on,to die,,ɡoi-on,,"pinnow1959versuch[p. 203, item 70, set K67]",,Pinnow comparative set K67.,pinnow1959versuch:C:c8.p203.i70.sK067:v2,pinnow1959versuch:C:c8.p203.i70.sK067,,,
gu,m122,ɡoːl,ten,,ɡoːl,,"pinnow1959versuch[p. 126, item 1436, set V249]",,Pinnow comparative set V249. Linked to Rau m122 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c8.p126.i1436.sV249,,,,
gu,m122,ɡol,ten,,ɡol,,"pinnow1959versuch[p. 126, item 1436, set V249]",,Pinnow comparative set V249. Linked to Rau m122 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c8.p126.i1436.sV249:v2,pinnow1959versuch:C:c8.p126.i1436.sV249,,,
gu,,ɡub-boːn,bear,,ɡub-boːn,,"pinnow1959versuch[p. 130, item 1466, set V267]",,Pinnow comparative set V267.,pinnow1959versuch:C:c8.p130.i1466.sV267,,,,
Birhor,,ɡucu,beard and mustache,,ɡucu,,"pinnow1959versuch[p. 121, item 1426, set V241]",,Pinnow comparative set V241.,pinnow1959versuch:C:c7.p121.i1426.sV241,,,,
mu,,ɡucu,beard or mustache,,ɡucu,,"pinnow1959versuch[p. 121, item 1426, set V241]",,Pinnow comparative set V241.,pinnow1959versuch:C:c4.p121.i1426.sV241,,,,
ho,,ɡucu,mustaches,,ɡucu,,"pinnow1959versuch[p. 121, item 1426, set V241]",,Pinnow comparative set V241.,pinnow1959versuch:C:c6.p121.i1426.sV241,,,,
sa,m44,ɡum,"to clean rice, etc. in the winnowing fan, to sift out the husk",,ɡum,,"pinnow1959versuch[p. 214, item 175, set K159]",,Pinnow comparative set K159. Linked to Rau m44 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c2.p214.i175.sK159,,,,
Birhor,m44,ɡum,"to sift, to winnow, the act of winnowing",,ɡum,,"pinnow1959versuch[p. 214, item 175, set K159]",,Pinnow comparative set K159. Linked to Rau m44 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c7.p214.i175.sK159,,,,
mu,m44,ɡum,"to sift, to winnow, the act of winnowing",,ɡum,,"pinnow1959versuch[p. 214, item 175, set K159]",,Pinnow comparative set K159. Linked to Rau m44 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c4.p214.i175.sK159,,,,
ko,m44,ɡum,to winnow,,ɡum,,"pinnow1959versuch[p. 214, item 175, set K159]",,Pinnow comparative set K159. Linked to Rau m44 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c5.p214.i175.sK159,,,,
so,m44,ɡum,to winnow,,ɡum,,"pinnow1959versuch[p. 214, item 175, set K159]",,Pinnow comparative set K159. Linked to Rau m44 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c3.p214.i175.sK159,,,,
