PreMu,pkh-563-93,ɔɳɖ(ɔ)ka,headhunter,,ɔɳɖ(ɔ)ka,,"munda1968proto[p. 93, SEAlang record 563]",,Munda's reconstructed pre-Mundari reflex of pkh-563-93.,munda1968proto:R:c2.p563.i93,,,,
sa,pkh-563-93,ɔɳɖɡa,headhunter,,ɔɳɖɡa,,"munda1968proto[p. 93, SEAlang record 563]",,Munda's Santali reflex of pkh-563-93.,munda1968proto:C:c1.p563.i93,,,,
sa,pkh-579-94,ɔɽaʔ,house,,ɔɽaʔ,,"munda1968proto[p. 94, SEAlang record 579]",,Munda's Santali reflex of pkh-579-94.,munda1968proto:C:c1.p579.i94,,,,
PreMu,pkh-579-94,ɔɽaʔ,house,,ɔɽaʔ,,"munda1968proto[p. 94, SEAlang record 579]",,Munda's reconstructed pre-Mundari reflex of pkh-579-94.,munda1968proto:R:c2.p579.i94,,,,
sa,pkh-475-87,ɔɽɛ,bird,,ɔɽɛ,,"munda1968proto[p. 87, SEAlang record 475]",,Munda's Santali reflex of pkh-475-87.,munda1968proto:C:c1.p475.i87,,,,
PreMu,pkh-475-87,ɔɽɛ,bird,,ɔɽɛ,,"munda1968proto[p. 87, SEAlang record 475]",,Munda's reconstructed pre-Mundari reflex of pkh-475-87.,munda1968proto:R:c2.p475.i87,,,,
sa,pkh-480-87x2,ɔɽɛɟ,to tear off,,ɔɽɛɟ,,"munda1968proto[p. 87-2, SEAlang record 480]",,Munda's Santali reflex of pkh-480-87x2.,munda1968proto:C:c1.p480.i87-2,,,,
PreMu,pkh-480-87x2,ɔɽɛɟ,to tear off,,ɔɽɛɟ,,"munda1968proto[p. 87-2, SEAlang record 480]",,Munda's reconstructed pre-Mundari reflex of pkh-480-87x2.,munda1968proto:R:c2.p480.i87-2,,,,
sa,pkh-584-94,ɔʈaŋ,to fly,,ɔʈaŋ,,"munda1968proto[p. 94, SEAlang record 584]",,Munda's Santali reflex of pkh-584-94.,munda1968proto:C:c1.p584.i94,,,,
PreMu,pkh-584-94,ɔʈaŋ,to fly,,ɔʈaŋ,,"munda1968proto[p. 94, SEAlang record 584]",,Munda's reconstructed pre-Mundari reflex of pkh-584-94.,munda1968proto:R:c2.p584.i94,,,,
sa,pkh-580-94,ɔʈaʔ,to uncover,,ɔʈaʔ,,"munda1968proto[p. 94, SEAlang record 580]",,Munda's Santali reflex of pkh-580-94.,munda1968proto:C:c1.p580.i94,,,,
PreMu,pkh-580-94,ɔʈaʔ,to uncover,,ɔʈaʔ,,"munda1968proto[p. 94, SEAlang record 580]",,Munda's reconstructed pre-Mundari reflex of pkh-580-94.,munda1968proto:R:c2.p580.i94,,,,
PreMu,pkh-918-120,ɖa(h)u,kind of fruit,,ɖa(h)u,,"munda1968proto[p. 120, SEAlang record 918]",,Munda's reconstructed pre-Mundari reflex of pkh-918-120.,munda1968proto:R:c2.p918.i120,,,,
sa,pkh-623-97,ɖabɔʔ,to nod,,ɖabɔʔ,,"munda1968proto[p. 97, SEAlang record 623]",,Munda's Santali reflex of pkh-623-97.,munda1968proto:C:c1.p623.i97,,,,
PreMu,pkh-623-97,ɖabɔʔ,to nod,,ɖabɔʔ,,"munda1968proto[p. 97, SEAlang record 623]",,Munda's reconstructed pre-Mundari reflex of pkh-623-97.,munda1968proto:R:c2.p623.i97,,,,
sa,pkh-918-120,ɖahu,kind of fruit,,ɖahu,,"munda1968proto[p. 120, SEAlang record 918]",,Munda's Santali reflex of pkh-918-120.,munda1968proto:C:c1.p918.i120,,,,
PKher,pkh-918-120,ɖahu,kind of fruit,,ɖahu,,"munda1968proto[p. 120, SEAlang record 918]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p918.i120,,,,
PreMu,pkh-173-63,ɖaŋɡua,bachelor,,ɖaŋɡua,,"munda1968proto[p. 63, SEAlang record 173]",,Munda's reconstructed pre-Mundari reflex of pkh-173-63.,munda1968proto:R:c2.p173.i63,,,,
sa,pkh-256-69,ɖaɖu,big-headed,,ɖaɖu,,"munda1968proto[p. 69, SEAlang record 256]",,Munda's Santali reflex of pkh-256-69.,munda1968proto:C:c1.p256.i69,,,,
sa,pkh-256-69,ɖaʈu,big-headed,,ɖaʈu,,"munda1968proto[p. 69, SEAlang record 256]",,Munda's Santali reflex of pkh-256-69.,munda1968proto:C:c1.p256.i69:v2,munda1968proto:C:c1.p256.i69,,,
PreMu,pkh-256-69,ɖaɖu,big-headed,,ɖaɖu,,"munda1968proto[p. 69, SEAlang record 256]",,Munda's reconstructed pre-Mundari reflex of pkh-256-69.,munda1968proto:R:c2.p256.i69,,,,
sa,pkh-264-70,ɖaɖub,not,,ɖaɖub,,"munda1968proto[p. 70, SEAlang record 264]",,Munda's Santali reflex of pkh-264-70.,munda1968proto:C:c1.p264.i70,,,,neg
PreMu,pkh-264-70,ɖaɖub,not,,ɖaɖub,,"munda1968proto[p. 70, SEAlang record 264]",,Munda's reconstructed pre-Mundari reflex of pkh-264-70.,munda1968proto:R:c2.p264.i70,,,,neg
PreMu,pkh-897-118,ɖaɖɔ,finger,,ɖaɖɔ,,"munda1968proto[p. 118, SEAlang record 897]",,Munda's reconstructed pre-Mundari reflex of pkh-897-118.,munda1968proto:R:c2.p897.i118,,,,
sa,pkh-897-118,ɖaʈɔm,finger,,ɖaʈɔm,,"munda1968proto[p. 118, SEAlang record 897]",,Munda's Santali reflex of pkh-897-118.,munda1968proto:C:c1.p897.i118,,,,
sa,pkh-1523-160,ɖhɔɳɖ,kind of snake,,ɖhɔɳɖ,,"munda1968proto[p. 160, SEAlang record 1523]",,Munda's Santali reflex of pkh-1523-160.,munda1968proto:C:c1.p1523.i160,,,,
sa,pkh-none-51,ɖi,"settlement, village",,ɖi,,munda1968proto[p. 51-2],,Munda's Santali reflex of pkh-none-51.,munda1968proto:C:c1.p.i51-2,,,,
PreMu,pkh-none-51,ɖi,"settlement, village",,ɖi,,munda1968proto[p. 51],,Munda's reconstructed pre-Mundari reflex of pkh-none-51.,munda1968proto:R:c2.p.i51,,,,
sa,pkh-22-52,ɖiɖa,to tiptoe,,ɖiɖa,,"munda1968proto[p. 52, SEAlang record 22]",,Munda's Santali reflex of pkh-22-52.,munda1968proto:C:c1.p22.i52,,,,
PreMu,pkh-22-52,ɖiɖi,to tiptoe,,ɖiɖi,,"munda1968proto[p. 52, SEAlang record 22]",,Munda's reconstructed pre-Mundari reflex of pkh-22-52.,munda1968proto:R:c2.p22.i52,,,,
sa,pkh-23-52,ɖiɳɖa,bachelor,,ɖiɳɖa,,"munda1968proto[p. 52, SEAlang record 23]",,Munda's Santali reflex of pkh-23-52.,munda1968proto:C:c1.p23.i52,,,,
PreMu,pkh-23-52,ɖiɳɖa,bachelor,,ɖiɳɖa,,"munda1968proto[p. 52, SEAlang record 23]",,Munda's reconstructed pre-Mundari reflex of pkh-23-52.,munda1968proto:R:c2.p23.i52,,,,
PreMu,pkh-711-105,ɖuŋɡa,to hang,,ɖuŋɡa,,"munda1968proto[p. 105, SEAlang record 711]",,Munda's reconstructed pre-Mundari reflex of pkh-711-105.,munda1968proto:R:c2.p711.i105,,,,
sa,pkh-1266-143,ɖuɳɖe,one hind leg of slain animal,,ɖuɳɖe,,"munda1968proto[p. 143, SEAlang record 1266]",,Munda's Santali reflex of pkh-1266-143.,munda1968proto:C:c1.p1266.i143,,,,
PreMu,pkh-1266-143,ɖuɳɖi,one hind leg of slain animal,,ɖuɳɖi,,"munda1968proto[p. 143, SEAlang record 1266]",,Munda's reconstructed pre-Mundari reflex of pkh-1266-143.,munda1968proto:R:c2.p1266.i143,,,,
PreMu,pkh-1523-160,ɖuɳɖu,kind of snake,,ɖuɳɖu,,"munda1968proto[p. 160, SEAlang record 1523]",,Munda's reconstructed pre-Mundari reflex of pkh-1523-160.,munda1968proto:R:c2.p1523.i160,,,,
sa,pkh-1264-143,ɖɔbɔʔ,to nod,,ɖɔbɔʔ,,"munda1968proto[p. 143, SEAlang record 1264]",,Munda's Santali reflex of pkh-1264-143.,munda1968proto:C:c1.p1264.i143,,,,
PreMu,pkh-1264-143,ɖɔbɔʔ,to nod,,ɖɔbɔʔ,,"munda1968proto[p. 143, SEAlang record 1264]",,Munda's reconstructed pre-Mundari reflex of pkh-1264-143.,munda1968proto:R:c2.p1264.i143,,,,
PKher,pkh-1264-143,ɖɔbɔʔ,to nod,,ɖɔbɔʔ,,"munda1968proto[p. 143, SEAlang record 1264]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p1264.i143,,,,
sa,pkh-604-96,ɖɔjɔd,empty,,ɖɔjɔd,,"munda1968proto[p. 96, SEAlang record 604]",,Munda's Santali reflex of pkh-604-96.,munda1968proto:C:c1.p604.i96,,,,
PreMu,pkh-604-96,ɖɔjɔd,empty,,ɖɔjɔd,,"munda1968proto[p. 96, SEAlang record 604]",,Munda's reconstructed pre-Mundari reflex of pkh-604-96.,munda1968proto:R:c2.p604.i96,,,,
sa,pkh-615-97,ɖɔkɔɟ,to swallow,,ɖɔkɔɟ,,"munda1968proto[p. 97, SEAlang record 615]",,Munda's Santali reflex of pkh-615-97.,munda1968proto:C:c1.p615.i97,,,,
PreMu,pkh-615-97,ɖɔkɔɟ,to swallow,,ɖɔkɔɟ,,"munda1968proto[p. 97, SEAlang record 615]",,Munda's reconstructed pre-Mundari reflex of pkh-615-97.,munda1968proto:R:c2.p615.i97,,,,
PreMu,pkh-639-99,ɖɔm(b)ɔl,to float,,ɖɔm(b)ɔl,,"munda1968proto[p. 99, SEAlang record 639]",,Munda's reconstructed pre-Mundari reflex of pkh-639-99.,munda1968proto:R:c2.p639.i99,,,,
sa,pkh-639-99,ɖɔmɔl,to float,,ɖɔmɔl,,"munda1968proto[p. 99, SEAlang record 639]",,Munda's Santali reflex of pkh-639-99.,munda1968proto:C:c1.p639.i99,,,,
sa,pkh-711-105,ɖɔŋɡa,to hang,,ɖɔŋɡa,,"munda1968proto[p. 105, SEAlang record 711]",,Munda's Santali reflex of pkh-711-105.,munda1968proto:C:c1.p711.i105,,,,
sa,pkh-1265-143,ɖɔɳɖɔ,bull with bent horns; fool,,ɖɔɳɖɔ,,"munda1968proto[p. 143, SEAlang record 1265]",,Munda's Santali reflex of pkh-1265-143.,munda1968proto:C:c1.p1265.i143,,,,
PreMu,pkh-1265-143,ɖɔɳɖɔ,bull with bent horns; fool,,ɖɔɳɖɔ,,"munda1968proto[p. 143, SEAlang record 1265]",,Munda's reconstructed pre-Mundari reflex of pkh-1265-143.,munda1968proto:R:c2.p1265.i143,,,,
sa,pkh-173-63,ɖəŋɡua,bachelor,,ɖəŋɡua,,"munda1968proto[p. 63, SEAlang record 173]",,Munda's Santali reflex of pkh-173-63.,munda1968proto:C:c1.p173.i63,,,,
sa,pkh-426-84,ɖɛkɛ,"pointed, knotted",,ɖɛkɛ,,"munda1968proto[p. 84, SEAlang record 426]",,Munda's Santali reflex of pkh-426-84.,munda1968proto:C:c1.p426.i84,,,,
PreMu,pkh-426-84,ɖɛkɛ,"pointed, knotted",,ɖɛkɛ,,"munda1968proto[p. 84, SEAlang record 426]",,Munda's reconstructed pre-Mundari reflex of pkh-426-84.,munda1968proto:R:c2.p426.i84,,,,
sa,pkh-432-84,ɖɛrɛd,"small, tiny",,ɖɛrɛd,,"munda1968proto[p. 84, SEAlang record 432]",,Munda's Santali reflex of pkh-432-84.,munda1968proto:C:c1.p432.i84,,,,
PreMu,pkh-432-84,ɖɛrɛd,"small, tiny",,ɖɛrɛd,,"munda1968proto[p. 84, SEAlang record 432]",,Munda's reconstructed pre-Mundari reflex of pkh-432-84.,munda1968proto:R:c2.p432.i84,,,,
sa,pkh-386-80,ɖɛŋɡa,worn out cloth,,ɖɛŋɡa,,"munda1968proto[p. 80, SEAlang record 386]",,Munda's Santali reflex of pkh-386-80.,munda1968proto:C:c1.p386.i80,,,,
PreMu,pkh-386-80,ɖɛŋɡa,worn out cloth,,ɖɛŋɡa,,"munda1968proto[p. 80, SEAlang record 386]",,Munda's reconstructed pre-Mundari reflex of pkh-386-80.,munda1968proto:R:c2.p386.i80,,,,
PreMu,pkh-387-80,ɛ(ɛ )a,seven,,ɛ(ɛ )a,,"munda1968proto[p. 80, SEAlang record 387]",,Munda's reconstructed pre-Mundari reflex of pkh-387-80.,munda1968proto:R:c2.p387.i80,,,,
sa,pkh-387-80,ɛ-a,seven,,ɛ-a,,"munda1968proto[p. 80, SEAlang record 387]",,Munda's Santali reflex of pkh-387-80.,munda1968proto:C:c1.p387.i80,,,,
sa,pkh-418-83,ɛ-t-raŋ,to scold,,ɛ-t-raŋ,,"munda1968proto[p. 83, SEAlang record 418]",,Munda's Santali reflex of pkh-418-83.,munda1968proto:C:c1.p418.i83,,,,
sa,pkh-469-87,ɛbhɛn,to wake up,,ɛbhɛn,,"munda1968proto[p. 87, SEAlang record 469]",,Munda's Santali reflex of pkh-469-87.,munda1968proto:C:c1.p469.i87,,,,
sa,pkh-462-86,ɛdɛl,cottonsilk,,ɛdɛl,,"munda1968proto[p. 86, SEAlang record 462]",,Munda's Santali reflex of pkh-462-86.,munda1968proto:C:c1.p462.i86,,,,
PreMu,pkh-462-86,ɛdɛl,cottonsilk,,ɛdɛl,,"munda1968proto[p. 86, SEAlang record 462]",,Munda's reconstructed pre-Mundari reflex of pkh-462-86.,munda1968proto:R:c2.p462.i86,,,,
PreMu,pkh-469-87,ɛhɔn,to wake up,,ɛhɔn,,"munda1968proto[p. 87, SEAlang record 469]",,Munda's reconstructed pre-Mundari reflex of pkh-469-87.,munda1968proto:R:c2.p469.i87,,,,
PreMu,pkh-1106-133,ɛlaŋ,heat,,ɛlaŋ,,"munda1968proto[p. 133, SEAlang record 1106]",,Munda's reconstructed pre-Mundari reflex of pkh-1106-133.,munda1968proto:R:c2.p1106.i133,,,,
PKher,pkh-1106-133,ɛlaŋ,heat,,ɛlaŋ,,"munda1968proto[p. 133, SEAlang record 1106]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p1106.i133,,,,
sa,pkh-364-78,ɛm,to give,,ɛm,,"munda1968proto[p. 78, SEAlang record 364]",,Munda's Santali reflex of pkh-364-78.,munda1968proto:C:c1.p364.i78,,,,
sa,pkh-415-82,ɛman,et cetera,,ɛman,,"munda1968proto[p. 82, SEAlang record 415]",,Munda's Santali reflex of pkh-415-82.,munda1968proto:C:c1.p415.i82,,,,
PreMu,pkh-415-82,ɛman,et cetera,,ɛman,,"munda1968proto[p. 82, SEAlang record 415]",,Munda's reconstructed pre-Mundari reflex of pkh-415-82.,munda1968proto:R:c2.p415.i82,,,,
sa,pkh-389-81,ɛn-a,that,,ɛn-a,,"munda1968proto[p. 81, SEAlang record 389]",,Munda's Santali reflex of pkh-389-81.,munda1968proto:C:c1.p389.i81,,,,pron
PreMu,pkh-389-81,ɛn-a,that,,ɛn-a,,"munda1968proto[p. 81, SEAlang record 389]",,Munda's reconstructed pre-Mundari reflex of pkh-389-81.,munda1968proto:R:c2.p389.i81,,,,pron
sa,pkh-390-81,ɛra,wife,,ɛra,,"munda1968proto[p. 81, SEAlang record 390]",,Munda's Santali reflex of pkh-390-81.,munda1968proto:C:c1.p390.i81,,,,
PreMu,pkh-390-81,ɛra,wife,,ɛra,,"munda1968proto[p. 81, SEAlang record 390]",,Munda's reconstructed pre-Mundari reflex of pkh-390-81.,munda1968proto:R:c2.p390.i81,,,,
PreMu,pkh-418-83,ɛraŋ,to scold,,ɛraŋ,,"munda1968proto[p. 83, SEAlang record 418]",,Munda's reconstructed pre-Mundari reflex of pkh-418-83.,munda1968proto:R:c2.p418.i83,,,,
sa,pkh-424-83,ɛskar,"lonely, alone",,ɛskar,,"munda1968proto[p. 83, SEAlang record 424]",,Munda's Santali reflex of pkh-424-83.,munda1968proto:C:c1.p424.i83,,,,
PreMu,pkh-424-83,ɛskar,"lonely, alone",,ɛskar,,"munda1968proto[p. 83, SEAlang record 424]",,Munda's reconstructed pre-Mundari reflex of pkh-424-83.,munda1968proto:R:c2.p424.i83,,,,
sa,pkh-433-84,ɛsɛd,to stop,,ɛsɛd,,"munda1968proto[p. 84, SEAlang record 433]",,Munda's Santali reflex of pkh-433-84.,munda1968proto:C:c1.p433.i84,,,,
PreMu,pkh-433-84,ɛsɛd,to stop,,ɛsɛd,,"munda1968proto[p. 84, SEAlang record 433]",,Munda's reconstructed pre-Mundari reflex of pkh-433-84.,munda1968proto:R:c2.p433.i84,,,,
sa,pkh-463-86,ɛsɛl,fair,,ɛsɛl,,"munda1968proto[p. 86, SEAlang record 463]",,Munda's Santali reflex of pkh-463-86.,munda1968proto:C:c1.p463.i86,,,,
PreMu,pkh-463-86,ɛsɛl,fair,,ɛsɛl,,"munda1968proto[p. 86, SEAlang record 463]",,Munda's reconstructed pre-Mundari reflex of pkh-463-86.,munda1968proto:R:c2.p463.i86,,,,
sa,pkh-468-87,ɛsɛr,to occupy,,ɛsɛr,,"munda1968proto[p. 87, SEAlang record 468]",,Munda's Santali reflex of pkh-468-87.,munda1968proto:C:c1.p468.i87,,,,
PreMu,pkh-468-87,ɛsɛr,to occupy,,ɛsɛr,,"munda1968proto[p. 87, SEAlang record 468]",,Munda's reconstructed pre-Mundari reflex of pkh-468-87.,munda1968proto:R:c2.p468.i87,,,,
sa,pkh-417-83,ɛtaŋ,thin,,ɛtaŋ,,"munda1968proto[p. 83, SEAlang record 417]",,Munda's Santali reflex of pkh-417-83.,munda1968proto:C:c1.p417.i83,,,,
PreMu,pkh-417-83,ɛtaŋ,thin,,ɛtaŋ,,"munda1968proto[p. 83, SEAlang record 417]",,Munda's reconstructed pre-Mundari reflex of pkh-417-83.,munda1968proto:R:c2.p417.i83,,,,
sa,pkh-378-80,ɛtɔm,right side,,ɛtɔm,,"munda1968proto[p. 80, SEAlang record 378]",,Munda's Santali reflex of pkh-378-80.,munda1968proto:C:c1.p378.i80,,,,adv
PreMu,pkh-378-80,ɛtɔm,right side,,ɛtɔm,,"munda1968proto[p. 80, SEAlang record 378]",,Munda's reconstructed pre-Mundari reflex of pkh-378-80.,munda1968proto:R:c2.p378.i80,,,,adv
sa,pkh-427-84,ɛtɛ,to listen,,ɛtɛ,,"munda1968proto[p. 84, SEAlang record 427]",,Munda's Santali reflex of pkh-427-84.,munda1968proto:C:c1.p427.i84,,,,
PreMu,pkh-427-84,ɛtɛ,to listen,,ɛtɛ,,"munda1968proto[p. 84, SEAlang record 427]",,Munda's reconstructed pre-Mundari reflex of pkh-427-84.,munda1968proto:R:c2.p427.i84,,,,
PKher,pkh-427-84,ɛtɛ,to listen,,ɛtɛ,,"munda1968proto[p. 84, SEAlang record 427]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p427.i84,,,,
sa,pkh-388-80,ɛŋ-ɡa,mother,,ɛŋ-ɡa,,"munda1968proto[p. 80, SEAlang record 388]",,Munda's Santali reflex of pkh-388-80.,munda1968proto:C:c1.p388.i80,,,,
PreMu,pkh-388-80,ɛŋ-ɡa,mother,,ɛŋ-ɡa,,"munda1968proto[p. 80, SEAlang record 388]",,Munda's reconstructed pre-Mundari reflex of pkh-388-80.,munda1968proto:R:c2.p388.i80,,,,
sa,pkh-360-78,ɛɟ,to scoop up,,ɛɟ,,"munda1968proto[p. 78, SEAlang record 360]",,Munda's Santali reflex of pkh-360-78.,munda1968proto:C:c1.p360.i78,,,,
PreMu,pkh-360-78,ɛɟ,to scoop up,,ɛɟ,,"munda1968proto[p. 78, SEAlang record 360]",,Munda's reconstructed pre-Mundari reflex of pkh-360-78.,munda1968proto:R:c2.p360.i78,,,,
sa,pkh-467-87,ɛɡɛr,to scold,,ɛɡɛr,,"munda1968proto[p. 87, SEAlang record 467]",,Munda's Santali reflex of pkh-467-87.,munda1968proto:C:c1.p467.i87,,,,
PreMu,pkh-467-87,ɛɡɛr,to scold,,ɛɡɛr,,"munda1968proto[p. 87, SEAlang record 467]",,Munda's reconstructed pre-Mundari reflex of pkh-467-87.,munda1968proto:R:c2.p467.i87,,,,
sa,pkh-1096-132,ɛɳɖaʔ,to throw away,,ɛɳɖaʔ,,"munda1968proto[p. 132, SEAlang record 1096]",,Munda's Santali reflex of pkh-1096-132.,munda1968proto:C:c1.p1096.i132,,,,
PreMu,pkh-1096-132,ɛɳɖaʔ,to throw away,,ɛɳɖaʔ,,"munda1968proto[p. 132, SEAlang record 1096]",,Munda's reconstructed pre-Mundari reflex of pkh-1096-132.,munda1968proto:R:c2.p1096.i132,,,,
sa,pkh-1097-132,ɛʈaʔ,another,,ɛʈaʔ,,"munda1968proto[p. 132, SEAlang record 1097]",,Munda's Santali reflex of pkh-1097-132.,munda1968proto:C:c1.p1097.i132,,,,
PreMu,pkh-1097-132,ɛʈaʔ,another,,ɛʈaʔ,,"munda1968proto[p. 132, SEAlang record 1097]",,Munda's reconstructed pre-Mundari reflex of pkh-1097-132.,munda1968proto:R:c2.p1097.i132,,,,
sa,pkh-456-86,ɛʈkɛɟ,kind of tree,,ɛʈkɛɟ,,"munda1968proto[p. 86, SEAlang record 456]",,Munda's Santali reflex of pkh-456-86.,munda1968proto:C:c1.p456.i86,,,,
PreMu,pkh-456-86,ɛʈkɛɟ,kind of tree,,ɛʈkɛɟ,,"munda1968proto[p. 86, SEAlang record 456]",,Munda's reconstructed pre-Mundari reflex of pkh-456-86.,munda1968proto:R:c2.p456.i86,,,,
sa,pkh-449-85,ɛʈɛɟ,to begin,,ɛʈɛɟ,,"munda1968proto[p. 85, SEAlang record 449]",,Munda's Santali reflex of pkh-449-85.,munda1968proto:C:c1.p449.i85,,,,
PreMu,pkh-449-85,ɛʈɛɟ,to begin,,ɛʈɛɟ,,"munda1968proto[p. 85, SEAlang record 449]",,Munda's reconstructed pre-Mundari reflex of pkh-449-85.,munda1968proto:R:c2.p449.i85,,,,
PreMu,pkh-693-103,ɟa(a)li,kind of dance,,ɟa(a)li,,"munda1968proto[p. 103, SEAlang record 693]",,Munda's reconstructed pre-Mundari reflex of pkh-693-103.,munda1968proto:R:c2.p693.i103,,,,
sa,pkh-748-108,ɟa,"any, whatever",,ɟa,,"munda1968proto[p. 108, SEAlang record 748]",,Munda's Santali reflex of pkh-748-108.,munda1968proto:C:c1.p748.i108,,,,adj
PreMu,pkh-748-108,ɟa,"any, whatever",,ɟa,,"munda1968proto[p. 108, SEAlang record 748]",,Munda's reconstructed pre-Mundari reflex of pkh-748-108.,munda1968proto:R:c2.p748.i108,,,,adj
PKher,pkh-748-108,ɟa,"any, whatever",,ɟa,,"munda1968proto[p. 108, SEAlang record 748]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p748.i108,,,,adj
sa,pkh-286-72,ɟadur,kind of dance,,ɟadur,,"munda1968proto[p. 72, SEAlang record 286]",,Munda's Santali reflex of pkh-286-72.,munda1968proto:C:c1.p286.i72,,,,
PreMu,pkh-286-72,ɟadur,kind of dance,,ɟadur,,"munda1968proto[p. 72, SEAlang record 286]",,Munda's reconstructed pre-Mundari reflex of pkh-286-72.,munda1968proto:R:c2.p286.i72,,,,
sa,pkh-503-89,ɟahɛr,sacred grove,,ɟahɛr,,"munda1968proto[p. 89, SEAlang record 503]",,Munda's Santali reflex of pkh-503-89.,munda1968proto:C:c1.p503.i89,,,,
PreMu,pkh-503-89,ɟahɛr,sacred grove,,ɟahɛr,,"munda1968proto[p. 89, SEAlang record 503]",,Munda's reconstructed pre-Mundari reflex of pkh-503-89.,munda1968proto:R:c2.p503.i89,,,,
PreMu,pkh-694-104,ɟai,grandchild,,ɟai,,"munda1968proto[p. 104, SEAlang record 694]",,Munda's reconstructed pre-Mundari reflex of pkh-694-104.,munda1968proto:R:c2.p694.i104,,,,
sa,pkh-783-110,ɟal,to lick,,ɟal,,"munda1968proto[p. 110, SEAlang record 783]",,Munda's Santali reflex of pkh-783-110.,munda1968proto:C:c1.p783.i110,,,,
PreMu,pkh-783-110,ɟal,to lick,,ɟal,,"munda1968proto[p. 110, SEAlang record 783]",,Munda's reconstructed pre-Mundari reflex of pkh-783-110.,munda1968proto:R:c2.p783.i110,,,,
sa,pkh-996-126,ɟalad,to stick,,ɟalad,,"munda1968proto[p. 126, SEAlang record 996]",,Munda's Santali reflex of pkh-996-126.,munda1968proto:C:c1.p996.i126,,,,
PreMu,pkh-996-126,ɟalad,to stick,,ɟalad,,"munda1968proto[p. 126, SEAlang record 996]",,Munda's reconstructed pre-Mundari reflex of pkh-996-126.,munda1968proto:R:c2.p996.i126,,,,
sa,pkh-693-103,ɟalɛ,kind of dance,,ɟalɛ,,"munda1968proto[p. 103, SEAlang record 693]",,Munda's Santali reflex of pkh-693-103.,munda1968proto:C:c1.p693.i103,,,,
PreMu,pkh-879-116,ɟambɽu,kind of snake,,ɟambɽu,,"munda1968proto[p. 116, SEAlang record 879]",,Munda's reconstructed pre-Mundari reflex of pkh-879-116.,munda1968proto:R:c2.p879.i116,,,,
sa,pkh-879-116,ɟambɽɔ,kind of snake,,ɟambɽɔ,,"munda1968proto[p. 116, SEAlang record 879]",,Munda's Santali reflex of pkh-879-116.,munda1968proto:C:c1.p879.i116,,,,
PreMu,pkh-961-124,ɟampa,shade; fence,,ɟampa,,"munda1968proto[p. 124, SEAlang record 961]",,Munda's reconstructed pre-Mundari reflex of pkh-961-124.,munda1968proto:R:c2.p961.i124,,,,
sa,pkh-490-88,ɟanhɛ,kind of grass,,ɟanhɛ,,"munda1968proto[p. 88, SEAlang record 490]",,Munda's Santali reflex of pkh-490-88.,munda1968proto:C:c1.p490.i88,,,,
PreMu,pkh-490-88,ɟanhɛ,kind of grass,,ɟanhɛ,,"munda1968proto[p. 88, SEAlang record 490]",,Munda's reconstructed pre-Mundari reflex of pkh-490-88.,munda1968proto:R:c2.p490.i88,,,,
sa,pkh-279-71,ɟanum,thorn,,ɟanum,,"munda1968proto[p. 71, SEAlang record 279]",,Munda's Santali reflex of pkh-279-71.,munda1968proto:C:c1.p279.i71,,,,
PreMu,pkh-279-71,ɟanum,thorn,,ɟanum,,"munda1968proto[p. 71, SEAlang record 279]",,Munda's reconstructed pre-Mundari reflex of pkh-279-71.,munda1968proto:R:c2.p279.i71,,,,
sa,pkh-1047-129,ɟapar,to split,,ɟapar,,"munda1968proto[p. 129, SEAlang record 1047]",,Munda's Santali reflex of pkh-1047-129.,munda1968proto:C:c1.p1047.i129,,,,
PreMu,pkh-1047-129,ɟapar,to split,,ɟapar,,"munda1968proto[p. 129, SEAlang record 1047]",,Munda's reconstructed pre-Mundari reflex of pkh-1047-129.,munda1968proto:R:c2.p1047.i129,,,,
sa,pkh-1007-126,ɟapaʔ,to close,,ɟapaʔ,,"munda1968proto[p. 126, SEAlang record 1007]",,Munda's Santali reflex of pkh-1007-126.,munda1968proto:C:c1.p1007.i126,,,,
PreMu,pkh-1007-126,ɟapaʔ,to close,,ɟapaʔ,,"munda1968proto[p. 126, SEAlang record 1007]",,Munda's reconstructed pre-Mundari reflex of pkh-1007-126.,munda1968proto:R:c2.p1007.i126,,,,
sa,pkh-69-56,ɟapid,to close eyes,,ɟapid,,"munda1968proto[p. 56, SEAlang record 69]",,Munda's Santali reflex of pkh-69-56.,munda1968proto:C:c1.p69.i56,,,,
sa,pkh-69-56,ɟipid,to close eyes,,ɟipid,,"munda1968proto[p. 56, SEAlang record 69]",,Munda's Santali reflex of pkh-69-56.,munda1968proto:C:c1.p69.i56:v2,munda1968proto:C:c1.p69.i56,,,
PreMu,pkh-69-56,ɟapid,to close eyes,,ɟapid,,"munda1968proto[p. 56, SEAlang record 69]",,Munda's reconstructed pre-Mundari reflex of pkh-69-56.,munda1968proto:R:c2.p69.i56,,,,
